"","X","ID.2","ID.3","Gender","Liv.situation","Work.wors","Work.imp","Privat.wors","Privat.imp","Contract.change","Work.quant","Care.quant","Free.quant","mwb.cat","Ovrl_HO","Work_time","Caring_duties","Freetime","Age.cat","srh","Country","Age.num","Work.wors.3","Work.imp.3","Privat.wors.3","Privat.imp.3","edu.na"
"98",98,3983355466047,5084249123667,"Female","Partner/Family/Flatshare","1","1","1","1",1,3,3,2,"1",1,"Unchanged","Unchanged","Decreased","51-60","4","Germany",53,"1","1","1","1",NA
"99",99,4022392563945,5134075038645,"Male","Partner/Family/Flatshare","3","1","4","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","51-60","2","Germany",52,"2","1","3","1",6
"100",100,4035072892941,5150259873801,"Male","Partner/Family/Flatshare","4","1","3","3",2,1,1,4,"1",3,"Decreased","Decreased","Increased","41-50","3","Germany",49,"3","1","2","2",3
"101",101,4126373164746,5266793115906,"Female","Partner/Family/Flatshare","2","2","1","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","41-50","3","Germany",48,"1","1","1","1",NA
"102",102,4129551685143,5270850094923,"Female","Partner/Family/Flatshare","4","2","3","3",2,1,3,2,"1",3,"Decreased","Unchanged","Decreased","41-50","3","Germany",42,"3","1","2","2",6
"103",103,3714161579541,4740657196401,"Female","Partner/Family/Flatshare","2","1","1","2",2,1,1,3,"1",3,"Decreased","Decreased","Unchanged","31-40","4","Germany",39,"1","1","1","1",5
"104",104,3928814588547,5014634596167,"Male","Alone","1","3","3","3",2,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","31-40","4","Germany",39,"1","2","2","2",4
"105",105,4067017718544,5191033400784,"Male","Partner/Family/Flatshare","1","2","3","1",1,4,3,3,"1",1,"Increased","Unchanged","Unchanged","31-40","3","Germany",36,"1","1","2","1",2
"106",106,4370809720842,5578785444162,"Female","Partner/Family/Flatshare","1","1","3","1",1,3,3,1,"1",2,"Unchanged","Unchanged","Decreased","31-40","3","Germany",35,"1","1","2","1",3
"107",107,3629254985046,4632284674206,"Female","Partner/Family/Flatshare","4","1","4","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","31-40","3","Germany",35,"3","1","3","1",3
"108",108,3883485364848,4956777578928,"Female","Partner/Family/Flatshare","2","2","4","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","31-40","2","Germany",34,"1","1","3","1",NA
"109",109,3570543125649,4557346416189,"Male","Partner/Family/Flatshare","5","1","4","1",3,1,5,5,"1",1,"Decreased","Increased","Increased","31-40","3","Germany",34,"3","1","3","1",NA
"110",110,3619608917940,4619972690340,"Male","Partner/Family/Flatshare","5","1","4","1",2,2,3,4,"1",2,"Decreased","Unchanged","Increased","31-40","4","Germany",32,"3","1","3","1",6
"111",111,3980337973641,5080397676501,"Male","Alone","3","1","5","1",2,2,3,4,"1",1,"Decreased","Unchanged","Increased","31-40","3","Germany",32,"2","1","3","1",3
"112",112,4153276419444,5301131715684,"Female","Partner/Family/Flatshare","4","3","3","2",3,2,1,1,"1",2,"Decreased","Decreased","Decreased","31-40","5","Germany",31,"3","2","2","1",NA
"113",113,3839732445942,4900932515262,"Female","Partner/Family/Flatshare","1","5","4","2",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","18-30","3","Germany",29,"1","3","3","1",NA
"114",114,4333512812949,5531180661489,"Female","Partner/Family/Flatshare","4","1","4","2",3,3,3,3,"1",3,"Unchanged","Unchanged","Unchanged","18-30","4","Germany",29,"3","1","3","1",NA
"115",115,3808772151048,4861415617128,"Male","Partner/Family/Flatshare","4","3","4","3",2,4,4,2,"1",2,"Increased","Increased","Decreased","18-30","3","Germany",28,"3","2","3","2",NA
"116",116,4131035481843,5272743973623,"Male","Alone","2","4","3","2",1,2,3,3,"1",1,"Decreased","Unchanged","Unchanged","18-30","4","Germany",26,"1","3","2","1",5
"117",117,4253950280943,5429629158723,"Male","Alone","3","3","2","2",2,2,2,2,"1",1,"Decreased","Decreased","Decreased","18-30","3","Germany",26,"2","2","1","1",3
"118",118,4152559034448,5300216064528,"Female","Alone","4","1","4","1",2,2,2,1,"1",3,"Decreased","Decreased","Decreased","18-30","3","Germany",25,"3","1","3","1",4
"119",119,4148548181541,5295096718401,"Female","Partner/Family/Flatshare","3","3","4","2",1,3,3,2,"1",3,"Unchanged","Unchanged","Decreased","18-30","4","Germany",25,"2","2","3","1",NA
"120",120,4158412323147,5307687046767,"Female","Partner/Family/Flatshare","3","3","4","3",3,3,3,3,"1",2,"Unchanged","Unchanged","Unchanged","18-30","3","Germany",24,"2","2","3","2",4
"121",121,3620394938547,4620975946167,"Male","Partner/Family/Flatshare","4","2","3","2",2,2,3,4,"1",2,"Decreased","Unchanged","Increased","18-30","5","Germany",24,"3","1","2","1",NA
"122",122,3886538345541,4960674322401,"Male","Alone","5","1","5","1",1,1,3,5,"1",2,"Decreased","Unchanged","Increased","61-65","4","Germany",64,"3","1","3","1",NA
